DATE,M1329BUSM193NNBR
1/1/31,0.949
2/1/31,1.207
3/1/31,1.465
4/1/31,1.313
5/1/31,1.014
6/1/31,0.631
7/1/31,0.485
8/1/31,0.598
9/1/31,1.217
10/1/31,2.468
11/1/31,2.225
12/1/31,3.253
1/1/32,2.681
2/1/32,2.655
3/1/32,2.079
4/1/32,0.767
5/1/32,0.428
6/1/32,0.408
7/1/32,0.417
8/1/32,0.44
9/1/32,0.233
10/1/32,0.176
11/1/32,0.181
12/1/32,0.085
1/1/33,0.207
2/1/33,0.485
3/1/33,2.289
4/1/33,0.565
5/1/33,0.418
6/1/33,0.267
7/1/33,0.367
8/1/33,0.211
9/1/33,0.102
10/1/33,0.157
11/1/33,0.419
12/1/33,0.695
1/1/34,0.67
2/1/34,0.628
3/1/34,0.273
4/1/34,0.179
5/1/34,0.138
6/1/34,0.07
7/1/34,0.072
8/1/34,0.198
9/1/34,0.27
10/1/34,0.208
11/1/34,0.217
12/1/34,0.143
1/1/35,0.136
2/1/35,0.114
3/1/35,0.154
4/1/35,0.169
5/1/35,0.145
6/1/35,0.128
7/1/35,0.065
8/1/35,0.101
9/1/35,0.214
10/1/35,0.189
11/1/35,0.135
12/1/35,0.089
1/1/36,0.099
2/1/36,0.081
3/1/36,0.113
4/1/36,0.099
5/1/36,0.182
6/1/36,0.226
7/1/36,0.141
8/1/36,0.182
9/1/36,0.155
10/1/36,0.132
11/1/36,0.095
12/1/36,0.209
1/1/37,0.36
2/1/37,0.384
3/1/37,0.583
4/1/37,0.696
5/1/37,0.647
6/1/37,0.561
7/1/37,0.492
8/1/37,0.519
9/1/37,0.53
10/1/37,0.343
11/1/37,0.145
12/1/37,0.104
1/1/38,0.099
2/1/38,0.084
3/1/38,0.074
4/1/38,0.083
5/1/38,0.027
6/1/38,0.023
7/1/38,0.053
8/1/38,0.047
9/1/38,0.096
10/1/38,0.023
11/1/38,0.024
12/1/38,0.007
1/1/39,0.002
2/1/39,0.004
3/1/39,0.005
4/1/39,0.019
5/1/39,0.006
6/1/39,0.006
7/1/39,0.017
8/1/39,0.058
9/1/39,0.101
10/1/39,0.028
11/1/39,0.018
12/1/39,0.01
1/1/40,0.001
2/1/40,0.004
3/1/40,0.001
4/1/40,0.003
5/1/40,0.042
6/1/40,0.071
7/1/40,0.009
8/1/40,0.019
9/1/40,0.021
10/1/40,0.001
11/1/40,0.003
12/1/40,0.001
1/1/41,0.001
2/1/41,0.034
3/1/41,0.089
4/1/41,0.092
5/1/41,0.082
6/1/41,0.089
7/1/41,0.097
8/1/41,0.108
9/1/41,0.055
10/1/41,0.049
11/1/41,0.242
12/1/41,0.298
1/1/42,0.214
2/1/42,0.25
3/1/42,0.212
4/1/42,0.299
5/1/42,0.364
6/1/42,0.363
7/1/42,0.368
8/1/42,0.37
9/1/42,0.37
10/1/42,0.372
11/1/42,0.371
12/1/42,0.363
1/1/43,0.367
2/1/43,0.372
3/1/43,0.373
4/1/43,0.373
5/1/43,0.373
6/1/43,0.374
7/1/43,0.374
