Year,Total Return (Dividends Reinvested)
1928,0.4270
1929,-0.0793
1930,-0.2392
1931,-0.4172
1932,-0.0862
1933,0.5043
1934,-0.0020
1935,0.4632
1936,0.3328
1937,-0.3393
1938,0.2938
1939,-0.0046
1940,-0.0971
1941,-0.1115
1942,0.1922
1943,0.2569
1944,0.1928
1945,0.3569
1946,-0.0778
1947,0.0549
1948,0.0542
1949,0.1796
1950,0.3043
1951,0.2325
1952,0.1771
1953,-0.0117
1954,0.5123
1955,0.3096
1956,0.0644
1957,-0.1048
1958,0.4244
1959,0.1179
1960,0.0028
1961,0.2660
1962,-0.0883
1963,0.2250
1964,0.1630
1965,0.1227
1966,-0.0999
1967,0.2373
1968,0.1084
1969,-0.0832
1970,0.0351
1971,0.1412
1972,0.1872
1973,-0.1450
1974,-0.2603
1975,0.3692
1976,0.2364
1977,-0.0716
1978,0.0639
1979,0.1819
1980,0.3148
1981,-0.0485
1982,0.2037
1983,0.2231
1984,0.0597
1985,0.3106
1986,0.1854
1987,0.0567
1988,0.1635
1989,0.3123
1990,-0.0314
1991,0.3000
1992,0.0743
1993,0.0994
1994,0.0128
1995,0.3711
1996,0.2268
1997,0.3310
1998,0.2834
1999,0.2088
2000,-0.0903
2001,-0.1185
2002,-0.2197
2003,0.2836
2004,0.1074
2005,0.0483
2006,0.1561
2007,0.0548
2008,-0.3655
2009,0.2594
2010,0.1482
2011,0.0210
2012,0.1589
2013,0.3205
2014,0.1352
2015,0.0138
2016,0.1177
2017,0.2161
2018,-0.0423
2019,0.3120
2020,0.1806
2021,0.2850
2022,-0.1804
